name,position,age,height,league_rank,average_market_value,highest_market_value,total_played_minutes,average_minutes_played,average_assists_per_game,total_assists,assist_per_minute,average_goals_per_game,total_goals,goals_per_minute,total_yellow_cards,team_win_ratio,data_year,nationality,mil_average_market_value
Robin Knoche,Defender,30,189,2,6166666.5,7500000,3630,90.75,.025,1,.0002754821,.025,1,.0002754821,8,.51219511,2023,Germany,6.1666665
Robin Koch,Defender,25,191,1,16500000,17000000,1664,79.238098,0,0,0,0,0,0,3,.23076923,2023,Germany,16.5
Robin Le Normand,Defender,25,187,3,28333334,30000000,4252,88.583336,.041666668,2,.00047036688,.041666668,2,.00047036688,6,.4509804,2023,France,28.333334
Robin Olsen,Goalkeeper,32,196,1,2000000,2000000,90,90,0,0,0,0,0,0,0,.33333334,2023,Sweden,2
Robin Zentner,Goalkeeper,27,195,2,5000000,5000000,3210,91.714287,0,0,0,0,0,0,1,.4054054,2023,Germany,5
Roland Sallai,Attack,25,183,2,11333333,12000000,1786,49.611111,.16666667,6,.0033594626,.1388889,5,.0027995522,1,.5,2023,Hungary,11.333333
Rolando Mandragora,Midfield,25,183,4,12000000,14000000,1520,66.08696,.086956523,2,.0013157895,.043478262,1,.00065789477,7,.34999999,2023,Italy,12
Romain Del Castillo,Attack,26,172,5,3233333.3,3500000,1108,46.166668,.29166666,7,.0063176895,.041666668,1,.00090252707,1,.34210527,2023,France,3.2333333
Romain Faivre,Midfield,23,180,5,15000000,15000000,2943,75.46154,.12820514,5,.0016989467,.25641027,10,.0033978934,1,.47916666,2023,France,15
Romain Hamouma,Attack,35,179,5,1000000,1000000,880,40,.045454547,1,.0011363636,.090909094,2,.0022727272,2,.18421052,2023,France,1
Romain Perraud,Defender,24,173,1,8666667,10000000,1835,83.409088,.045454547,1,.00054495916,.045454547,1,.00054495916,4,.2857143,2023,France,8.666667
Romain Saïss,Defender,32,188,1,8500000,9000000,2709,87.3871,0,0,0,.064516127,2,.00073827984,6,.40000001,2023,Morocco,8.5
Romain Thomas,Defender,34,193,5,1100000,1200000,2566,85.533333,0,0,0,.06666667,2,.00077942322,10,.2631579,2023,France,1.1
Romelu Lukaku,Attack,29,191,1,85000000,100000000,2509,62.724998,.050000001,2,.00079713034,.375,15,.0059784777,1,.63157892,2023,Belgium,85
Ronaël Pierre-Gabriel,Defender,24,177,5,4666666.5,5000000,2556,85.199997,.033333335,1,.0003912363,0,0,0,6,.34210527,2023,France,4.6666665
Ross Barkley,Midfield,28,189,1,14000000,17000000,296,26.90909,0,0,0,.090909094,1,.0033783785,0,.63157892,2023,England,14
Ruben Aguilar,Defender,29,172,5,10000000,10000000,2615,72.638885,.055555556,2,.00076481834,0,0,0,5,.5,2023,France,10
Ruben Loftus-Cheek,Midfield,26,191,1,20000000,20000000,2049,55.37838,.13513513,5,.0024402146,.027027028,1,.00048804295,3,.63157892,2023,England,20
Ruslan Malinovskyi,Midfield,29,181,4,29000000,30000000,2315,56.463413,.17073171,7,.0030237581,.24390244,10,.0043196543,10,.42307693,2023,Ukraine,29
Ryan Bertrand,Defender,32,179,1,4000000,5000000,662,73.555557,0,0,0,0,0,0,2,.38297874,2023,England,4
Ryan Fraser,Attack,28,163,1,9333333,10000000,1562,55.785713,.10714286,3,.0019206146,.071428575,2,.0012804097,3,.33333334,2023,Scotland,9.333333
Ryan Fredericks,Defender,29,181,1,1750000,2000000,729,52.07143,0,0,0,0,0,0,1,.4528302,2023,England,1.75
Ryan Sessegnon,Midfield,22,178,1,16500000,18000000,1365,71.842102,.10526316,2,.0014652015,0,0,0,2,.58139533,2023,England,16.5
Rémi Oudin,Attack,25,186,5,5500000,6000000,1741,52.757576,.15151516,5,.0028719127,.12121212,4,.0022975302,5,.15789473,2023,France,5.5
Rémy Cabella,Midfield,32,172,5,7250000,8000000,1732,78.727272,.27272728,6,.0034642033,.18181819,4,.0023094688,3,.31578946,2023,France,7.25
Sada Thioub,Attack,27,179,5,2250000,2500000,956,53.111111,.055555556,1,.0010460251,0,0,0,2,.18421052,2023,France,2.25
